Roč. 	Sem. 	Kód 	Predmet 	Skratka 	Rozsah 	Ukonč. 	Kredity 	Profil. 	Jadro 	Garant
1 	Z 	6BA0016 	aplikovaná algebra a teória grafov 	ApAlg 	2 - 2 - 0 	S 	5 	- 	- 	doc. PaedDr. Dalibor Gonda, PhD.
1 	Z 	6BI0014 	informatika pre manažérov 1 	InfM1 	2 - 0 - 2 	S 	5 	áno 	- 	doc. Ing. Marek Kvet, PhD.
1 	Z 	6BM0007 	manažérske prezentačné zručnosti 	MPZ 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Michal Varmus, PhD.
1 	Z 	6BM0026 	všeobecná ekonomická teória 	VET 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Ing. Alžbeta Kucharčíková, PhD.
1 	Z 	6UM0008 	manažment 1 	Mž1 	3 - 2 - 0 	S 	6 	áno 	áno 	doc. Ing. Viliam Lendel, PhD.
1 	L 	6BH0001 	etika a spoločenská zodpovednosť 	SZP 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Radoslav Jankal, PhD.
1 	L 	6BI0015 	informatika pre manažérov 2 	InfM2 	2 - 0 - 2 	S 	5 	áno 	- 	doc. Ing. Marek Kvet, PhD.
1 	L 	6BM0011 	marketing 	Mtg 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Mgr. Jakub Soviar, PhD.
1 	L 	6BM0015 	operačný manažment 	OM 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Ing. Milan Kubina, PhD.
1 	L 	6BM0017 	podniková ekonomika 	POE 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Mária Ďurišová, PhD.
2 	Z 	6BA0006 	matematická analýza 1 	MatA1 	2 - 2 - 1 	S 	6 	- 	- 	prof. Dr. Mgr. Ivan Cimrák
2 	Z 	6BU0001 	manažérska psychológia 	ManPsych 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Mgr. Jakub Soviar, PhD.
2 	Z 	6UM0001 	finančné účtovníctvo 	FÚ 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Anna Jacková, PhD.
2 	Z 	6UM0007 	podnikové financie 	PF 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Mária Ďurišová, PhD.
2 	L 	6BH0002 	sociológia 	Soc 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Mgr. Jakub Soviar, PhD.
2 	L 	6BI0038 	softvérové modelovanie 	SF 	2 - 0 - 2 	S 	5 	- 	- 	doc. Ing. Ján Janech, PhD.
2 	L 	6BM0006 	pravdepodobnosť a štatistika pre manažérov 	MnŠ 	2 - 1 - 2 	S 	6 	áno 	áno 	doc. Ing. Mária Ďurišová, PhD.
2 	L 	6BM0014 	mikroekonómia 	MiE 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Emese Tokarčíková, PhD.
3 	Z 	6BJ0003 	cudzí jazyk Bc. 1 	CJB1 	0 - 2 - 0 	S 	3 	- 	- 	Mgr. Jana Lopušanová
3 	Z 	6BM0021 	integrovaný manažérsky systém 	IMS 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Radoslav Jankal, PhD.
3 	Z 	6BM0022 	manažment ľudských zdrojov 1 	MLZ1 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Mgr. Jakub Soviar, PhD.
3 	Z 	6BM0028 	základy výskumu v manažmente 	ZVM 	2 - 0 - 2 	S 	5 	áno 	áno 	doc. Ing. Viliam Lendel, PhD.
3 	Z 	6UI0001 	podnikové informačné systémy 	PIS 	2 - 0 - 2 	S 	5 	áno 	áno 	prof. Ing. Milan Kubina, PhD.
3 	L 	6BJ0004 	cudzí jazyk Bc. 2 	CJB2 	0 - 2 - 0 	S 	3 	- 	- 	Mgr. Jana Lopušanová
3 	L 	6BX0001 	prax 	Prax 	0 - 0 - 0 	S 	5 	áno 	áno 	prof. Ing. Emil Kršák, PhD.
3 	L 	6BZ0001 	bakalárska práca 	BP 	0 - 2 - 4 	S 	12 	áno 	áno 	doc. Ing. Viliam Lendel, PhD.
	Povinne voliteľné predmety
Roč. 	Sem. 	Kód 	Predmet 	Skratka 	Rozsah 	Ukonč. 	Kredity 	Profil. 	Jadro 	Garant
1 	Z 	6BL0002 	právne aspekty podnikania 1 	PAP1 	2 - 2 - 0 	S 	5 	- 	áno 	doc. Ing. Anna Jacková, PhD.
1 	L 	6BL0003 	právne aspekty podnikania 2 	PaP2 	2 - 2 - 0 	S 	5 	- 	áno 	doc. Ing. Anna Jacková, PhD.
2 	Z 	6BM0002 	digitálny marketing 	DM 	2 - 0 - 2 	S 	5 	- 	áno 	doc. Ing. Gabriel Koman, PhD.
2 	Z 	6BM0012 	marketingová komunikácia 	MKom 	2 - 2 - 0 	S 	5 	- 	áno 	doc. Ing. Michal Varmus, PhD.
2 	Z 	6BM0018 	riadenie IT projektov 	RITP 	2 - 0 - 2 	S 	5 	- 	áno 	doc. Ing. Viliam Lendel, PhD.
2 	Z 	6UM0004 	dane a rozpočet 	DaR 	2 - 2 - 0 	S 	5 	- 	áno 	prof. Ing. Alžbeta Kucharčíková, PhD.
2 	L 	6BI0047 	úvod do databázových systémov 	UDS 	1 - 0 - 2 	S 	5 	- 	- 	doc. Ing. Jozef Kostolný, PhD.
2 	L 	6BM0004 	finančno-ekonomické analýzy 	FEA 	2 - 1 - 1 	S 	5 	- 	áno 	doc. Ing. Anna Jacková, PhD.
2 	L 	6BM0025 	športový manažment 	ŠP 	2 - 2 - 0 	S 	5 	- 	áno 	doc. Ing. Michal Varmus, PhD.
2 	L 	6UM0002 	makroekonómia 	ME 	2 - 2 - 0 	S 	5 	- 	áno 	prof. Ing. Alžbeta Kucharčíková, PhD.
3 	Z 	6BI0055 	základy testovania softvéru 	ZTS 	2 - 0 - 2 	S 	5 	- 	- 	doc. Ing. Jozef Kostolný, PhD.
3 	Z 	6BM0001 	aplikovaná ekonómia 	AE 	2 - 2 - 0 	S 	5 	- 	áno 	doc. Ing. Emese Tokarčíková, PhD.
3 	Z 	6UM0003 	plánovanie a controlling 	PaC 	2 - 2 - 0 	S 	5 	- 	áno 	prof. Ing. Milan Kubina, PhD.
3 	L 	6BM0010 	manažment 2 	Mž2 	2 - 2 - 0 	S 	5 	- 	áno 	doc. Ing. Radoslav Jankal, PhD.
	Výberové predmety
Roč. 	Sem. 	Kód 	Predmet 	Skratka 	Rozsah 	Ukonč. 	Kredity 	Profil. 	Jadro 	Garant
1 	Z 	6BA0012 	praktické cvičenia z matematiky 1 	PCzM1 	0 - 2 - 0 	S 	2 	- 	- 	doc. PaedDr. Dalibor Gonda, PhD.
1 	Z 	6BI0030 	praktikum z informatiky pre manažérov 1 	PIM1 	0 - 0 - 2 	S 	2 	- 	- 	doc. Ing. Marek Kvet, PhD.
1 	Z 	6BI0056 	informačná a manažérska gramotnosť 	IMG 	0 - 0 - 2 	S 	3 	- 	- 	doc. Ing. Viliam Lendel, PhD.
1 	Z 	6BM0019 	povolanie podnikateľ 1 	PP1 	1 - 2 - 0 	S 	3 	- 	- 	doc. Ing. Mária Ďurišová, PhD.
1 	Z 	6BM0030 	manažment športovej prípravy 	MŠP 	1 - 2 - 0 	S 	2 	- 	- 	PaedDr. Marián Hrabovský, PhD.
1 	Z 	6BT0001 	telesná výchova 1 	TV1 	0 - 2 - 0 	S 	1 	- 	- 	PaedDr. Marián Hrabovský, PhD.
1 	L 	6BA0015 	metódy spracovania dát 	MSD 	2 - 0 - 2 	S 	5 	- 	- 	doc. RNDr. Katarína Bachratá, PhD.
1 	L 	6BI0031 	praktikum z informatiky pre manažérov 2 	PIM2 	0 - 0 - 2 	S 	2 	- 	- 	doc. Ing. Marek Kvet, PhD.
1 	L 	6BM0020 	povolanie podnikateľ 2 	PP2 	1 - 2 - 0 	S 	4 	- 	- 	doc. Ing. Mária Ďurišová, PhD.
1 	L 	6BT0002 	telesná výchova 2 	TV2 	0 - 2 - 0 	S 	1 	- 	- 	PaedDr. Marián Hrabovský, PhD.
1 	L 	6BT0007 	telovýchovné sústredenie 1 	TVS1 	0 - 1 - 0 	S 	1 	- 	- 	PaedDr. Marián Hrabovský, PhD.
1 	L 	6UI0006 	elektronické spracovanie a prezentácia dokumentov 	ESPD 	2 - 0 - 2 	S 	4 	- 	- 	RNDr. Rudolf Blaško, PhD.
2 	Z 	6BA0014 	praktické cvičenia z matematiky 3 	PCzM3 	0 - 2 - 0 	S 	2 	- 	- 	RNDr. Rudolf Blaško, PhD.
2 	Z 	6BJ0005 	jazyk anglický 1 	JA1_inf 	0 - 2 - 0 	S 	3 	- 	- 	Mgr. Lucie Kontšeková
2 	Z 	6BJ0007 	jazyk nemecký 1 	JN1 	0 - 2 - 0 	S 	3 	- 	- 	Mgr. Jana Malchová
2 	Z 	6BT0003 	telesná výchova 3 	TV3 	0 - 2 - 0 	S 	1 	- 	- 	PaedDr. Marián Hrabovský, PhD.
2 	Z 	6BT0008 	telovýchovné sústredenie 2 	TVS2 	0 - 1 - 0 	S 	1 	- 	- 	PaedDr. Marián Hrabovský, PhD.
2 	L 	6BI0057 	využitie máp pri úspešnom podnikaní 	VMP 	0 - 0 - 2 	S 	2 	- 	- 	doc. Ing. Peter Márton, PhD.
2 	L 	6BJ0006 	Jazyk anglický 2 	JA2_inf 	0 - 2 - 0 	S 	3 	- 	- 	Mgr. Lucie Kontšeková
2 	L 	6BJ0008 	jazyk nemecký 2 	JN2 	0 - 2 - 0 	S 	3 	- 	- 	Mgr. Jana Malchová
2 	L 	6BM0024 	softvérová podpora ekonomických predmetov 	SPEP 	2 - 0 - 2 	S 	4 	- 	- 	Ing. Eva Malichová, PhD.
2 	L 	6BT0004 	telesná výchova 4 	TV4 	0 - 2 - 0 	S 	1 	- 	- 	PaedDr. Marián Hrabovský, PhD.
3 	Z 	6BA0017 	pokročilé štatistické metódy 	PŠM 	1 - 0 - 2 	S 	4 	- 	- 	Ing. Lucia Pančíková, PhD.
3 	Z 	6BI0006 	databázové systémy - access 	DS-Ac 	2 - 0 - 2 	S 	4 	- 	- 	prof. Ing. Vitaly Levashenko, PhD.
3 	Z 	6BI0040 	technické prostriedky PC 	TP-PC 	0 - 0 - 2 	S 	3 	- 	- 	Ing. Michal Hodoň, PhD.
3 	Z 	6BT0005 	telesná výchova 5 	TV5 	0 - 2 - 0 	S 	1 	- 	- 	PaedDr. Marián Hrabovský, PhD.
3 	L 	6BT0006 	telesná výchova 6 	TV6 	0 - 2 - 0 	S 	1 	- 	- 	PaedDr. Marián Hrabovský, PhD.